4369	correct	The shorter the string is, the more the string swings in 15 seconds.  The longer the string is, the less the string swings in 15 seconds.	The longer the string the less swings the shorter the more swings.
838	correct	A solution is a mixture formed when a solid dissolves in a liquid.	A solution is something that dissolves into the liquid and a mixture is something mixed up together.
1951	incorrect	If the middle bulb burns out the other 2 bulbs will stay lit.	If it is a parallel circuit it will stay lit. If it is a series circuit it will not stay light.
1768	correct	The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.	The harder mineral will scratch the color off of the softer one.
1772	contradictory	The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.	The one with a scratch.
2579	correct	The circuit is parallel, so each bulb has its own pathway to the D-cell battery, so the bulbs that do not burn out continue to shine.	Because it is a parallel circuit.
2681	incorrect	You can see how much time is taken for the earth materials to move.	The information I get from the stream table logs that I do not get from the maps is how long it took for it to form.
1382	correct	You have to pull up in this system.  In the single fixed pulley system, you get a directional advantage.	Another disadvantage might be the size of the load. 360 newtons is quite a large load to be pulling upward!
928	incorrect	Water heats up faster when covered.	It tells about using the solar water heater on the data chart.
1569	incorrect	If the string is shorter, the pitch will be higher. If the string is longer, the pitch will be lower.	The short one is louder than the long one.
1837	incorrect	The particles of the solid are too big to go through the holes in the paper filter.	Because when the solid touches the side, it sticks.
1848	incorrect	The particles of the solid are too big to go through the holes in the paper filter.	The solid is hard. It cannot go through because it is not a liquid.
4078	incorrect	The dissolved salt particles are small enough to go through the holes in the filter paper, but the sand particles are too large.	The sand got caught because it had rocks in it.
1891	incorrect	A car is made of a lot of iron or steel.	The metal around a car.
1055	incorrect	The marbles used by the 2 groups were probably different masses.	Maybe Jin's group did it by doing it up to down and Bee's group did it by going around.
648	incorrect	Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.	Because the blue uncovered and the red covered is like the same like the blue uncovered.
2874	incorrect	A bigger hole puts more water in the stream. Increased flow moves more earth materials, increasing erosion. A steeper slope makes the water flow faster. Faster flow moves more earth materials, increasing erosion.	I think these will cause more erosion because with a bigger hole more water and with the slope steeper more faster.
686	incorrect	Use a standard unit of mass like grams.	Because they weighed different but the same answer.
3473	incorrect	Darker colors absorb more heat than lighter colors. The dark green sheeting is the darkest color available so she should use the green sheeting.	She should use the dark green because it will absorb more heat.
2100	correct	There is a complete circuit connecting the motor to the D-cell battery.	The motor's circuit will be completed.
3506	incorrect	The seed coat protects the seed until the plant begins to grow.	To protect the seed.
1785	incorrect	The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.	Because she can touch and see which is hard.
1072	incorrect	Yes. Black absorbs more heat (energy) than white. White reflects more heat (energy) than black. Therefore the black covered box will heat up faster than the white covered box.	Yes. I pick yes because that black do heat fast than white. Darker color heat faster and more hot air.
3080	incorrect	A standard is used for comparison to determine how changing one variable changes the results.	To control any experiment.
1001	correct	The sand particles are larger and settle first. The flour particles are smaller and therefore settle more slowly.	The sand and flour separate because sand is heavier than flour.
1172	incorrect	Yes, aluminum foil is a metal and all metals conduct. The aluminum foil would complete the circuit.	Yes. Because aluminum foil is good conductor.
2886	correct	A bigger hole puts more water in the stream. Increased flow moves more earth materials, increasing erosion. A steeper slope makes the water flow faster. Faster flow moves more earth materials, increasing erosion.	More water can cause more erosion because so much water is flowing through at a time. Also a steeper slope because the water will flow a lot faster.
2292	incorrect	The fizzing indicates a gas, a new material, is produced. When a new material is produced, a chemical reaction has occurred.	Because fizzing is a reaction and so it had to be a chemical reaction.
3943	correct	40 meters. The change in elevation is 20 meters between A and B and 20 meters between B and C. So the change between A and C is 40 meters. 20 m plus 20 m equals 40 m.	40, because if it is like then to get to C just add another 20 meters.
1209	correct	Bill must have been using degrees Celsius if 28 is a warm temperature.	Celsius.
2568	correct	The circuit is parallel, so each bulb has its own pathway to the D-cell battery, so the bulbs that do not burn out continue to shine.	They will stay on because it is in a parallel circuit.
3348	incorrect	There is 30 grams (20 grams plus 10 grams) in the right cup. The balance is tipped down on the ball side which means the ball weighs more than 30 grams. 40 grams is the only weight heavier than 30 grams.	Because it is very simple I added 20 plus 10 and it equaled 30 grams. And that is how I got my answer.
4652	correct	Overly Orange takes fewer drops to change the color of indophenol so Overly Orange has a higher concentration of vitamin C.	Overly Orange because it took fewer drops than Luscious Lemon.
1751	correct	The bulb will light.	The light bulb will turn on.
4313	correct	Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.	Hook the wires to both sides of a battery.
1247	incorrect	20 centimeters size is between 10 and 30 centimeters, so the temperature change must be less than the 30 centimeters container, but more than the 10 centimeters container. 6 degrees Celsius is halfway between.	Because there is a 10 centimeters on the graph and put 10 centimeters with one and it will change because it is bigger and more space to store more heat.
2822	correct	A heat sink is any material that absorbs (a lot of) heat.	A substance that can take in and give off heat.
4135	incorrect	Water will always flow downhill (mountain to valley).	I think this because the stream is getting wider as it goes on.
934	correct	Water heats up faster when covered.	Blue was the darkest color and it was covered and that is how it got hotter.
3514	contradictory	The seed coat protects the seed until the plant begins to grow.	Protects the seedlings.
2714	correct	So that people notice the sound.	So people can hear it and pull over.
3076	incorrect	A standard is used for comparison to determine how changing one variable changes the results.	So you compare at the end of the experiment.
4418	incorrect	Fruitsnap contains little or no vitamin C so Fruitsnap does not change the color of the indophenol.	Because there was no acid in it.
4889	incorrect	Both finger patterns are loops.	They are both thumbs.
2212	incorrect	All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.	They needed to use their position.
1338	correct	The harder coin will scratch the other.	The one that got a scratch is not hard.
4912	incorrect	She recommended the topographic map because the map shows the elevations along the trail. Pam would know where the trail was the steepest.	I would think A because it shows the lakes and rivers and more details of it is location. Plus it shows the symbols of what is there.
3644	correct	The rubber band vibrates.	Because it vibrates and vibration makes Sound.
4019	correct	As time increases, the speed of light stays the same (remains constant).	As time goes on the speed of light stays the same.
1888	correct	A car is made of a lot of iron or steel.	It is filled with magnet and iron and steel.
1478	incorrect	Emily's crystals are the same shape as the alum crystals shown on the key.	Because it showed what alum looks like at the bottom.
4110	contradictory	Water will always flow downhill (mountain to valley).	I think the water flows that way because it is going from happy valley to the river.
566	correct	Use a standard unit of measurement such as centimeters or meters.	They can use meters or a tape measure.
2265	incorrect	The fizzing indicates a gas, a new material, is produced. When a new material is produced, a chemical reaction has occurred.	Because it shows and once you see it you will know that it is a chemical reaction because it starts to look like little bubbles and that is what a chemical reaction is.
132	contradictory	In the afternoon, shadows point east because the Sun is in the west. So the west side is opposite of the shadows.	I knew it because west is where the sun is most of the time.
2168	incorrect	The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.	It will not run because there is not enough D-cells to make both of them work.
4029	incorrect	As time increases, the speed of light stays the same (remains constant).	As time goes on the speed of light will pass until it will be long.
4626	incorrect	C. Black absorbs more heat (energy) than white. Pan C has the most dark surface area so C would heat up the fastest and have the highest temperature.	C. I pick C because that is the highest of the other.
4848	incorrect	When a paperclip sticks to a magnet, the paperclip turns into a temporary magnet, so the paperclip can stick to other paperclips and other things made of iron.	The magnetic force flows through all the paperclips.
3779	incorrect	Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.	Because the solution started to bubble.
145	correct	No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.	No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.
680	incorrect	Use a standard unit of mass like grams.	35 grams to a glass case, 60 grams to a big book.
4306	correct	Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.	Wendy should connect the insulated wire to a D-cell and a switch and that will be a complete circuit and it will attract iron or steel.
1235	incorrect	Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.	He can use the circuit to test the object because all he needs to do is put the ends of wire together.
3984	correct	The cotyledon provides food for the plant until the plant can make food for itself.	Something that feeds the seed.
1823	incorrect	When less than 3 scoops of fertilizer are used, the more fertilizer used, the greater the mass of beans harvested. When more than 3 scoops of fertilizer are used, the more fertilizer used, the less the mass of beans harvested.	If you put 0 scoops 0.2 beans will come out. If you put 4 scoops 1.2 beans will come out.
2189	correct	The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.	Because electricity does not flow from positive to positive they flow from negative to positive.
2726	incorrect	So that people notice the sound.	Because he does not want noise.
3472	correct	Darker colors absorb more heat than lighter colors. The dark green sheeting is the darkest color available so she should use the green sheeting.	Because if you put dark green, it will absorb the heat from the sun fast, because it is a dark color.
4086	incorrect	The dissolved salt particles are small enough to go through the holes in the filter paper, but the sand particles are too large.	The sand was too big to fit through the tiny holes in the filter. The salt dissolved into the water and was way too small to get caught in the filter. It just went through.
4324	incorrect	2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.	2. And trace it but make it littler.
2262	correct	Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.	One of them is they did not have the same kind of ball. 2 is they took different amounts of steps to the line.
1757	correct	The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.	Because whichever one scratches is the hardest.
551	correct	Use a standard unit of measurement such as centimeters or meters.	They have to get a measure tape.
452	incorrect	Earth materials erode and are carried by flowing water (a river). The earth materials form a delta when the materials are dropped off or deposited when the water stops flowing (at the mouth of a river).	Deltas form when water is run over a plateau for a long period of time and when the water runs somewhere else, that place where it runs out is a delta.
34	correct	Elena should include a separate shelter for each lizard.	Another house for the lizard.
108	correct	In the afternoon, shadows point east because the Sun is in the west. So the west side is opposite of the shadows.	The shadow is point east.
1161	correct	Yes, aluminum foil is a metal and all metals conduct. The aluminum foil would complete the circuit.	Yes, because electricity can go through foil.
451	incorrect	Earth materials erode and are carried by flowing water (a river). The earth materials form a delta when the materials are dropped off or deposited when the water stops flowing (at the mouth of a river).	Deltas are formed by deposition that is when earth materials are carried away then let off at another place to form a delta.
1248	incorrect	20 centimeters size is between 10 and 30 centimeters, so the temperature change must be less than the 30 centimeters container, but more than the 10 centimeters container. 6 degrees Celsius is halfway between.	It made me think but I had to choose 6 degrees Celsius. I picked between 3 and 9.
4153	correct	The water was evaporated, leaving the salt.	I let the water evaporate.
512	incorrect	The saxophone has the longest and fattest tube.	Because it has more amplification.
1071	correct	Yes. Black absorbs more heat (energy) than white. White reflects more heat (energy) than black. Therefore the black covered box will heat up faster than the white covered box.	Yes. The black box will collect more heat, because it is black. Black absorbs light from the sun. White reflects light from the light.
3530	incorrect	The seed coat protects the seed until the plant begins to grow.	The protection of the seed.
1153	contradictory	Yes, aluminum foil is a metal and all metals conduct. The aluminum foil would complete the circuit.	No because it will not let electricity flow and it is not metal.
479	incorrect	A solution was created when the eggshells disappeared (dissolved) and the mixture ended up as a clear liquid.	Yes because she saw the gas on and the vinegar was clear.
3670	correct	As time increases, the number of tree rings also increases.	As time goes on the number of tree ring are higher.
1498	correct	The motor will run.	The motor will run.
2349	correct	If the key sticks, the key is iron; if the key does not stick the key is aluminum.	The key will stick if it is iron but if it is aluminum it will not.
632	contradictory	When the string was tighter, the pitch was higher.	When it was loose the sound was soft but when it was tighten it is low.
1186	incorrect	Bill must have been using degrees Celsius if 28 is a warm temperature.	The degrees.
3057	incorrect	A standard is used for comparison to determine how changing one variable changes the results.	To compare the new experiment with the standard.
1753	incorrect	The bulb will light.	It would be a series.
548	correct	Use a standard unit of measurement such as centimeters or meters.	They should return it and get another rug and measure with a meter tape.
504	incorrect	The saxophone has the longest and fattest tube.	Because it has a curved thing.
3922	incorrect	Agree. Vibrations are movements. Vibrations produce sound.	Yes, I agree with her. In order to make sound, it needs to move.
123	incorrect	In the afternoon, shadows point east because the Sun is in the west. So the west side is opposite of the shadows.	That is how you spell west east. West by the W. East by the E.
4742	incorrect	When the string is tighter, the pitch will be higher.	Medium.
4656	incorrect	Overly Orange takes fewer drops to change the color of indophenol so Overly Orange has a higher concentration of vitamin C.	Overly contains a higher amount of vitamin C in it because it took less indophenol to turn the colored juice clear.
4698	contradictory	The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.	I think cup B would be more heavy because cup B is more concentrated.
3586	incorrect	The rubber band vibrates.	It is like a guitar string only rubber.
1709	incorrect	Jim would see a clear solution. 3 spoons of solid dissolves, so 2 spoons will dissolve.	The solid would dissolve because so did solution one and 3.
4355	incorrect	2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.	2. Draw what it looks like from the top. 4. Make the neighborhood buildings and other object smaller.
2141	incorrect	A chemical reaction occurred. [The white solid is a precipitate (a new material) which indicates the reaction.]	That the water cannot hold any more solute. It is saturated.
3806	correct	Shadows change during the day because the Earth is turning. The Sun stays in one place.	Because it would show one side and the other that is why I picked rotate the globe.
4743	correct	When the string is tighter, the pitch will be higher.	The pitch was higher.
1047	incorrect	The marbles used by the 2 groups were probably different masses.	I think they have to put more marbles.
2571	incorrect	The circuit is parallel, so each bulb has its own pathway to the D-cell battery, so the bulbs that do not burn out continue to shine.	It happens because if it is a cut off where I marked it they would still light.
1285	incorrect	Set up evaporation dishes. The water will go into the air (evaporate) and the solid will be left in the dish (crystallize).	Jim could separate dissolved water by using a filter. The water turns clear.
3789	contradictory	Shadows change during the day because the Earth is turning. The Sun stays in one place.	Because the earth rotate. And the sun moves to another way.
1890	incorrect	A car is made of a lot of iron or steel.	It could send a trigger because the car is made of a type of metal and the magnet would attract.
4929	correct	She recommended the topographic map because the map shows the elevations along the trail. Pam would know where the trail was the steepest.	Because she will know the elevation and which side is steeper.
885	incorrect	When 2 variables are changed, it is impossible to determine which variable is causing what effect.	I chose that because when the plastic is darker it will heat faster than a light color.
1638	incorrect	The water splashed because the fork was vibrating. Vibrations make sounds.	Sound travel through water.
1425	incorrect	Rub the minerals together and see which one scratches the other.	Rub them together.
1004	incorrect	The sand particles are larger and settle first. The flour particles are smaller and therefore settle more slowly.	The sand and salt weigh different, one is big one is little.
473	correct	A solution was created when the eggshells disappeared (dissolved) and the mixture ended up as a clear liquid.	She thinks she made a solution because the eggshell dissolved in the vinegar and bubbled up and turned clear.
2388	incorrect	The salt crystals are squares with Xs on top.	They all look the same, but some of them look different and then really small.
3341	correct	There is 30 grams (20 grams plus 10 grams) in the right cup. The balance is tipped down on the ball side which means the ball weighs more than 30 grams. 40 grams is the only weight heavier than 30 grams.	I can see the ball is heavier than 30 grams because it is not a perfect balance and the level is not perfect.
3409	incorrect	An experiment is controlled if only one variable is changed at a time.	A controlled experiment is like a release position because a release position is a controlled experiment.
594	contradictory	The motor will continue to run because the motor still has a pathway to the D-cell.	The motor will stop working.
3994	correct	The cotyledon provides food for the plant until the plant can make food for itself.	It stows the food for the young plant.
4017	contradictory	As time increases, the speed of light stays the same (remains constant).	As time goes on it is increasing.
15	correct	Elena should include a separate shelter for each lizard.	Maybe some shelter or some grass.
2556	correct	The circuit is parallel, so each bulb has its own pathway to the D-cell battery, so the bulbs that do not burn out continue to shine.	That happens because it is a parallel circuit.
699	incorrect	Use a standard unit of mass like grams.	They could weigh it.
2772	incorrect	Like poles repel and opposite poles attract.	The magnets do not touch each other because either the north and north sides are facing each other or on the south and south sides are facing each other.
3452	correct	The black areas in the 2 collectors (and the collectors themselves) are the same size. The amount of heat absorbed will be the same so the temperature change will also be the same.	I think they would both heat up the same because they are the same size and shape just faced a different way.
2236	correct	Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.	The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.
1568	contradictory	If the string is shorter, the pitch will be higher. If the string is longer, the pitch will be lower.	A short string makes a low note because it has less room to vibrate.
3830	correct	So people know exactly what the measurement means. A standard is necessary so everyone measures using the same unit and everyone gets the same measurement.	It is important to use a standard unit of measurement because if you do not it will not be correct.
1732	correct	The bulb will light.	The light bulb will lit.
1133	incorrect	Seeing multiple colors would show that vinegar can separate the permanent ink.	She will know by looking at the color and she can tell because after a while the color will start to spread.
650	contradictory	Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.	Because blue uncovered does not attract that much heat like the red one does.
3656	correct	As time increases, the number of tree rings also increases.	It tells me that the older the tree the more rings it has.
3052	correct	A standard is used for comparison to determine how changing one variable changes the results.	So that control your experiment without changing more than one variable.
2535	correct	Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.	It is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.
4588	correct	Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.	Because they are both at the highest point of concentration.
77	incorrect	Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.	To see if it as in the cookies was exactly pure sugar.
2432	correct	Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.	Compare the bags and see which one has the most gas in the bag. The one that has the most has the most carbohydrates or sugar.
1241	correct	Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.	You have to put the object between the 2 wires.
2647	correct	The mixtures are all clear.	That if it does have material at the bottom that it is not.
1966	contradictory	If the middle bulb burns out the other 2 bulbs will stay lit.	If the middle bulb burns out the 2 would burn out.
4239	correct	Anna should compare the size of the grease spots. The sample with the larger grease spot has more fat.	You get grid paper and put it on the grease spot and count the square in the grease spot.
1012	incorrect	The sand particles are larger and settle first. The flour particles are smaller and therefore settle more slowly.	It separated because the sand sank below the flour and the flour stayed on top.
953	correct	Water heats up faster when covered.	It the solar water heater has a cover it is going to get hotter.
1565	contradictory	If the string is shorter, the pitch will be higher. If the string is longer, the pitch will be lower.	Long will make a higher pitch short will make a lower pitch.
823	incorrect	A solution is a mixture formed when a solid dissolves in a liquid.	A solution is a solid and a liquid mixed together.
2837	correct	Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.	Phil should first put the rock in a bowl of vinegar. If it bubbles a lot it is probably calcite. Next if he is still not sure he should pour the rock and vinegar into a dish and let it evaporate. He should look for needle like markings.
1984	incorrect	You can not tell because we do not know the strength of the magnets. If the magnets are weak, the second piece of foam might put too much distance between the 2 magnets for the interaction to hold the magnets in place. If the magnets are strong the magnets might stay in place.	Because it is far away and I do not know how big the energy field is.
1756	incorrect	The bulb will light.	When the switch moves to the left, it will work.
1407	incorrect	There is a complete circuit connecting the bulb to the D-cell battery.	It will happen because it is in a running place.
1719	correct	Jim would see a clear solution. 3 spoons of solid dissolves, so 2 spoons will dissolve.	Nothing will be on the bottom and it will be clear. Because solution 3 has nothing on the bottom and it is clear.
301	incorrect	The boat with 0 marbles is the standard in this experiment.	0 Marbles, amount boat sank.
3746	incorrect	The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.	Some of the wires are disconnect.
